,Date,ID,URL,Username,Source,Location,text,Num_Of_Likes,Num_Of_Retwwet
888,2022-12-02 16:50:15+00:00,1.59872E+18,https://twitter.com/sheencroos/status/1598721218265468929,sheencroos,Twitter for Android,Colombo,@CityNewsTO What a poor review on a scrappy airline.,0,0
889,2022-12-02 14:41:54+00:00,1.59869E+18,https://twitter.com/KLCCOregon/status/1598688914356965377,KLCCOregon,Twitter Web App,"Eugene OR, USA","TGIF, #KLCClisteners!

The Willamette Valley rang in December with a dusting of ❄️!

BLM says environmental review can begin for proposal for OR's 1st chemical process gold mine.

And, Salem says airline service could return by next summer.

Listen: https://t.co/rgCFi8mKkL",2,0
890,2022-12-02 13:20:16+00:00,1.59867E+18,https://twitter.com/TechyOps/status/1598668371809243142,TechyOps,Jetpack.com,"NY , USA","Airline review: Singapore Airlines, A380-800, economy class, Singapore to London https://t.co/kUMsU8m2ni",0,0
891,2022-12-02 11:53:57+00:00,1.59865E+18,https://twitter.com/alanjfowler/status/1598646649064390656,alanjfowler,Twitter for iPad,,"@DaveDan19845274 @Finnair They simply don’t care.  They ruined our holiday with a series of screw ups and have done nothing to compensate us for our losses.  Add your voice to review websites such as Trustpilot, where around 80% of people give the Airli",1,0
892,2022-12-02 10:40:20+00:00,1.59863E+18,https://twitter.com/INSIDEUSNET/status/1598628126069858304,INSIDEUSNET,Jetpack.com,,Bank of America Alaska Airlines Visa Business Card Review : Inside US https://t.co/149oEooSQB,0,0
893,2022-12-02 10:16:33+00:00,1.59862E+18,https://twitter.com/JpgpicsCom/status/1598622139661561858,JpgpicsCom,dlvr.it,,"Moment Curved Surface Mount and Hard Shell Mount for AirTags review: After the great airline luggage disaster of 2022, in which hundreds of thousands of suitcases were delayed in arriving alongside their owners for up to days or even… https://t.co/T5SKQEdonl #news #reviews #art",0,0
894,2022-12-02 10:05:17+00:00,1.59862E+18,https://twitter.com/economynews2020/status/1598619303535935490,economynews2020,IFTTT,New York,"Airline review: Singapore Airlines, A380-800, economy class, Singapore to London https://t.co/zL4gR481yx #Economy #Business",0,0
895,2022-12-02 09:30:00+00:00,1.59861E+18,https://twitter.com/TGIS_Aviation/status/1598610425058398208,TGIS_Aviation,TweetDeck Web App,United Kingdom,"During lease negotiations on behalf of airline clients, TGIS Aviation was asked to review the operational costs of two Trent 772B engines installed on an A330 aircraft. 

Read our case study here - https://t.co/8M8mRnfrU4

#casestudy #aviation #aircraft",0,1
896,2022-12-02 09:20:03+00:00,1.59861E+18,https://twitter.com/gentlefusion/status/1598607921558216710,gentlefusion,dlvr.it,,"Moment Curved Surface Mount and Hard Shell Mount for AirTags review: After the great airline luggage disaster of 2022, in which hundreds of thousands of suitcases were delayed in arriving alongside their owners for up to days or even weeks, you might have considered permanently…",0,0
897,2022-12-02 08:00:11+00:00,1.59859E+18,https://twitter.com/flightwit/status/1598587822105133056,flightwit,SocialOomph,800 332-7359 • Get free app at,Fear of flying help you can trust. Check our reviews on BBB at https://t.co/DmgTg0Cw8c  #travel #airlines https://t.co/k9sYs0P3h3,0,0
898,2022-12-02 04:12:09+00:00,1.59853E+18,https://twitter.com/png_hausbung/status/1598530432903045120,png_hausbung,FS Poster 3,Papua New Guinea,"Prime Minister James Marape has assured the traveling Papua New Guinean public that he would get the two ministers jointly responsible for Air Niugini to look into the possible review of fees and extra charges that the airline company is imposing upon...
https://t.co/K6jLnI3LMo",2,0
899,2022-12-02 03:44:06+00:00,1.59852E+18,https://twitter.com/PrimeSiteUK/status/1598523373574918144,PrimeSiteUK,FS_Poster_App,United Kingdom,"#TravelPro manufactures 🧳 #suitcases, #luggage that withstands journeys, either for business or pleasure by air, land, or sea and for the first year, covers damage by airline carriers.

✨ SEE REVIEW : https://t.co/NZm6zVNNA5

🔎 SEE OFFER : https://t.co/G7YWwUL48u https://t.co/Se6X48qHgC",0,0
900,2022-12-02 03:19:30+00:00,1.59852E+18,https://twitter.com/plfmamfbtghlw/status/1598517184271044609,plfmamfbtghlw,Jetpack.com,,Barclaycard Frontier Airlines World Mastercard Review https://t.co/jxwmkSaqHP,0,0
901,2022-12-02 03:04:10+00:00,1.59851E+18,https://twitter.com/INSIDEUSNET/status/1598513327172423680,INSIDEUSNET,Jetpack.com,,Barclaycard Frontier Airlines World Mastercard Review : Inside US https://t.co/HlEgOaUER5,0,0
902,2022-12-02 01:16:29+00:00,1.59849E+18,https://twitter.com/plfmamfbtghlw/status/1598486227899908096,plfmamfbtghlw,Jetpack.com,,Bank of America Alaska Airlines Visa Signature Credit Card Review https://t.co/d5uDdRBlPN,0,0
903,2022-12-02 00:36:12+00:00,1.59848E+18,https://twitter.com/ThomasGouard/status/1598476090829316097,ThomasGouard,Bloglovin,"Chicago, IL",Article: Thomas G.’s review of United Airlines https://t.co/hbhfSplM3Y on @bloglovin,0,0
904,2022-12-02 00:17:37+00:00,1.59847E+18,https://twitter.com/INSIDEUSNET/status/1598471410623676423,INSIDEUSNET,Jetpack.com,,Bank of America Alaska Airlines Visa Signature Credit Card Review : Inside US https://t.co/SYf8kzz3TF,0,0
